id,title,rating,year,actors_tsne_1,actors_tsne_2,type,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,nan
tt0023027,Horse Feathers,0.28125,0.1559633027522942,0.71104085,0.5822699,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0023042,I Am a Fugitive from a Chain Gang,0.49999999999999956,0.1559633027522942,0.3326304,0.8599704,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023238,The Most Dangerous Game,0.15625,0.1559633027522942,0.2625363,0.43232217,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023245,The Mummy,0.125,0.1559633027522942,0.67509276,0.09026876,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023293,The Old Dark House,0.125,0.1559633027522942,0.4683137,0.5503506,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023382,Red Dust,0.1875,0.1559633027522942,0.75737643,0.2051959,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0023427,Scarface,0.34375,0.1559633027522942,0.69041634,0.1336259,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023458,Shanghai Express,0.21875,0.1559633027522942,0.69039315,0.13348001,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023551,Tarzan the Ape Man,0.09375000000000044,0.1559633027522942,0.45020065,0.7830549,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0023563,The Testament of Dr. Mabuse,0.40625,0.1651376146789012,0.6715567,0.5438872,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt0023622,Trouble in Paradise,0.40625,0.1559633027522942,0.34722635,0.28746894,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0023634,"I Was Born, But...",0.40625,0.1559633027522942,0.38168383,0.7872278,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023649,Vampyr,0.25,0.1559633027522942,0.25815776,0.346197,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023775,Baby Face,0.28125,0.1651376146789012,0.48550683,0.64265144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0023940,Design for Living,0.25,0.1651376146789012,0.08749676,0.9297389,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
tt0023948,Dinner at Eight,0.28125,0.1651376146789012,0.7074109,0.116568565,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023969,Duck Soup,0.34375,0.1651376146789012,0.7110504,0.5823436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0024028,Footlight Parade,0.28125,0.1651376146789012,0.24837258,0.71280223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
